transaction_id,user_id,merchant_id,amount,payment_method,device_type,is_new_device,previous_failed_txns,txn_count_10min,avg_user_transaction_amount,location_change,merchant_risk_score,account_age_days,hour_of_day,is_weekend,international_transaction,fraud
TXN0000001,USR00313,MER0254,12269.68,NetBanking,Android,0,1,2,3588.47,0,0.0976,883,7,1,0,0
TXN0000002,USR02709,MER0228,396.77,Card,Android,0,0,1,1357.63,0,0.057,1105,7,0,0,0
TXN0000003,USR02292,MER0037,4872.43,UPI,Web,0,1,1,3954.29,0,0.1603,1239,8,0,0,0
TXN0000004,USR01537,MER0060,889.96,Card,Android,0,1,1,1111.5,0,0.2363,602,5,1,0,0
TXN0000005,USR01516,MER0298,1073.62,UPI,Web,0,0,3,3145.23,0,0.1758,1401,17,1,0,0
TXN0000006,USR03006,MER0285,983.62,Wallet,Android,0,0,1,1864.92,0,0.1218,356,21,0,0,0
TXN0000007,USR00301,MER0278,1267.69,UPI,Android,0,0,6,1060.76,0,0.1328,510,17,1,0,0
TXN0000008,USR02441,MER0079,1138.76,UPI,iOS,0,2,1,2230.68,0,0.256,569,13,1,0,0
TXN0000009,USR00706,MER0255,2835.95,UPI,iOS,0,0,2,2473.14,0,0.2426,400,22,1,0,0
TXN0000010,USR00330,MER0031,13825.17,Card,iOS,0,0,3,4184.97,0,0.2715,504,17,1,0,0
TXN0000011,USR01843,MER0073,2703.62,Card,Android,0,0,2,2513.71,0,0.1743,326,19,0,0,0
TXN0000012,USR03415,MER0250,355.27,Card,Android,0,0,2,1063.58,0,0.0898,170,16,0,0,0
TXN0000013,USR02576,MER0309,1244.71,UPI,iOS,0,7,2,2407.51,0,0.171,324,7,0,0,0
TXN0000014,USR02664,MER0328,1053.34,UPI,Android,0,0,1,1359.96,0,0.3528,380,12,0,0,0
TXN0000015,USR02512,MER0491,1285.32,UPI,Android,0,0,1,1741.28,0,0.0682,745,13,0,1,0
TXN0000016,USR02752,MER0428,3361.51,Card,Android,0,0,2,3167.49,0,0.0,2301,8,1,0,0
TXN0000017,USR01797,MER0190,609.76,UPI,iOS,0,0,4,511.89,0,0.1067,747,7,0,0,0
TXN0000018,USR00449,MER0392,8477.29,Card,Android,0,0,3,2563.59,0,0.3356,556,11,1,0,0
TXN0000019,USR02940,MER0048,524.21,UPI,Android,0,1,2,552.57,1,0.2564,438,15,0,0,0
TXN0000020,USR01577,MER0429,820.47,NetBanking,Web,0,0,1,1977.24,0,0.3573,392,15,0,0,0
